ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-91.5750503540039,-84.19648,73785.7,354.9655,9.526746,-46.00069502473826,980
-77.50990295410156,-70.17371,73361.875,170.30197,7.270097,-32.04977689812419,983
-73.77493286132812,-66.47545,72994.875,130.13255,5.821705,-6.789282649620893,986
-69.55786895751953,-62.29522,72626.49,93.53058,3.3043106,-9.958465139339287,989
-68.44912719726562,-61.22706,72220.7,69.94683,4.084141,-68.19966010835438,992
-67.1634521484375,-59.987446,71760.08,62.84412,2.962502,-17.721366212589714,995
-75.39643859863281,-68.27644,71199.94,184.578,3.0386813,-4.404757003887961,998
-66.53208923339844,-59.456863,70752.27,64.56102,2.006713,-21.597781814599625,1001
-8587431936.0,-8587432000.0,81690.69,7829660.0,459451.62,-11.85349523102949,1004
-973581568.0,-973581600.0,81462.695,5815953.0,322869.3,-19.867365286160098,1007
-118458968.0,-118458960.0,81367.98,5941717.0,306163.94,-22.299982191890937,1010
-40526368.0,-40526360.0,81335.2,6097704.0,275307.66,-0.09171332908178347,1013
-6242850.0,-6242842.0,81328.22,6585705.0,286505.62,-18.962237995207065,1016
-7627152.0,-7627144.0,81328.03,7010310.0,272248.3,-35.08445578708856,1019
-1364370.625,-1364362.5,81323.04,6804353.0,355850.62,-37.66612865852567,1022
-963298.875,-963290.75,81321.125,6850528.0,342757.0,-27.569892062209348,1025
-7869166.5,-7869158.5,81313.41,6502254.5,290920.8,-15.161276326068531,1028
-850029.875,-850021.75,81305.96,5884140.0,265296.88,-15.60677047471483,1031
-507380.4375,-507372.3,81291.016,5028463.0,246874.75,-19.332639630175958,1034
-472081.25,-472073.12,81262.45,4201667.0,277388.84,-17.96436082648964,1037
